Clicks,Impressions,CreationDate,EndDate,PeopleWhoMatch,AdSpend,AdSpendCurrency
2,58,10/06/15 06:44:30 AM PDT,10/09/15 06:44:29 AM PDT,Black Matters,382,RUB
709,4925,10/02/15 07:28:43 AM PDT,10/05/15 07:28:42 AM PDT,Black Matters,59882,RUB
291,2083,10/19/15 08:03:24 AM PDT,10/20/15 08:03:23 AM PDT,Being Patriotic,16513,RUB
1840,13230,10/09/15 08:07:23 AM PDT,10/11/15 08:07:22 AM PDT,Being Patriotic,1000,RUB
682,4389,10/19/15 08:03:54 AM PDT,10/20/15 08:03:52 AM PDT,Being Patriotic,41564,RUB
771,12616,10/02/15 07:14:22 AM PDT,10/05/15 07:14:21 AM PDT,Don't Shoot,700,RUB
298,4711,10/21/15 08:26:28 AM PDT,10/22/15 08:26:27 AM PDT,Don't Shoot,181897,RUB
1781,22670,11/06/15 06:50:26 AM PST,11/09/15 06:50:25 AM PST,Black Matters,3000,RUB
0,0,11/19/15 11:51:19 PM PST,11/22/15 11:51:18 PM PST,Black Matters,,
,,11/19/15 11:21:05 PM PST,11/22/15 11:21:03 PM PST,Black Matters,,
224,3213,11/18/15 11:01:15 PM PST,11/20/15 11:01:14 PM PST,Blacktivist,1500,RUB
3298,16250,12/03/15 06:25:21 AM PST,12/04/15 06:25:20 AM PST,Being Patriotic,42637,RUB
981,9001,12/03/15 07:57:25 AM PST,12/04/15 07:57:24 AM PST,Heart of Texas,398921,RUB
26,146,12/15/15 06:34:16 AM PST,12/18/15 06:34:15 AM PST,Blacktivist,3938,RUB
117,66936,02/04/16 12:40:35 AM PST,,Multicultural Affinity,869039,RUB
0,8,02/12/16 09:15:21 AM PST,02/16/16 09:05:00 AM PST,Field of study,151,RUB
88,1948,02/11/16 12:13:04 AM PST,02/12/16 12:13:04 AM PST,Williams&Kalvin,500,RUB
128,2939,02/02/16 06:18:50 AM PST,02/06/16 04:00:31 AM PST,Williams&Kalvin,850,RUB
1000,10457,02/12/16 07:09:39 AM PST,02/15/16 07:09:39 AM PST,Black Matters,,RUB
1237,16684,02/12/16 07:01:48 AM PST,02/15/16 07:01:47 AM PST,Black Matters,1500,RUB
1,8,02/12/16 07:00:28 AM PST,02/15/16 07:00:27 AM PST,Black Matters,547,RUB
258,2103,02/18/16 12:04:17 AM PST,02/20/16 12:04:16 AM PST,Being Patriotic,23103,RUB
175,1590,02/25/16 07:44:02 AM PST,02/26/16 07:44:01 AM PST,Heart of Texas,159747,RUB
0,0,02/12/16 05:51:48 AM PST,02/15/16 05:51:47 AM PST,Don't Shoot,,
0,0,02/12/16 05:53:40 AM PST,02/15/16 05:51:47 AM PST,Don't Shoot,,
0,7588,02/14/16 11:13:46 PM PST,02/16/16 09:05:00 AM PST,Field of study,149849,RUB
102,977,02/12/16 01:45:36 AM PST,02/15/16 01:45:35 AM PST,Williams&Kalvin,300,RUB
283,10016,02/18/16 05:57:41 AM PST,02/19/16 05:46:31 AM PST,Multicultural Affinity,14957,RUB
212,6592,02/08/16 07:06:35 AM PST,02/09/16 07:06:34 AM PST,Black Matters,171537,RUB
76,495,03/24/16 12:08:31 AM PDT,03/25/16 12:08:31 AM PDT,LGBT United,5737,RUB
0,0,03/24/16 12:08:02 AM PDT,03/25/16 12:08:02 AM PDT,LGBT United,,
2,14,03/22/16 07:19:51 AM PDT,03/23/16 07:19:50 AM PDT,LGBT United,78,RUB
213,1640,03/17/16 04:22:59 AM PDT,03/19/16 04:22:59 AM PDT,United Muslims of America,500,RUB
165,2379,03/17/16 04:20:47 AM PDT,03/18/16 04:20:46 AM PDT,United Muslims of America,200,RUB
455,3734,03/17/16 05:32:59 AM PDT,03/20/16 05:32:59 AM PDT,Williams&Kalvin,74895,RUB
31,760,03/10/16 01:28:41 AM PST,03/12/16 01:28:40 AM PST,Williams&Kalvin,9978,RUB
0,0,03/10/16 01:28:25 AM PST,03/12/16 01:28:25 AM PST,Williams&Kalvin,,
2,5,03/04/16 12:46:32 AM PST,03/05/16 12:46:32 AM PST,Black Matters,418,RUB
0,7,03/06/16 12:46:00 AM PST,,Black Matters,289,RUB
1,20,03/10/16 04:13:40 AM PST,03/11/16 04:13:38 AM PST,Black Matters,2009,RUB
150,1818,03/10/16 04:12:29 AM PST,03/11/16 04:12:28 AM PST,Black Matters,38397,RUB
32,393,03/11/16 01:52:05 AM PST,03/12/16 01:52:04 AM PST,Black Matters,19996,RUB
184,1829,03/11/16 01:51:39 AM PST,03/13/16 01:51:39 AM PST,Black Matters,400,RUB
0,5,03/11/16 01:51:03 AM PST,03/13/16 01:51:02 AM PST,Black Matters,68,RUB
0,4,03/12/16 01:50:36 AM PST,,Black Matters,188,RUB
320,3484,03/11/16 01:49:33 AM PST,03/14/16 02:49:33 AM PDT,Black Matters,1000,RUB
29,359,03/11/16 01:48:30 AM PST,03/12/16 01:48:30 AM PST,Black Matters,200,RUB
39,391,03/11/16 04:07:32 AM PST,,Black Matters,14432,RUB
0,7,03/10/16 04:07:22 AM PST,03/11/16 04:07:21 AM PST,Black Matters,747,RUB
42,432,03/11/16 04:07:06 AM PST,,Black Matters,14567,RUB
